"CATAID" "sersic.xcen1" "sersic.ycen1" "sersic.mag1" "sersic.mag2" "sersic.re1" "sersic.re2" "sersic.nser1" "sersic.ang2" "sersic.axrat2"
265769 122.8069 87.3328 17.08907498916 17.08907498916 8.7142 17.4284 3.4292 105.8498 0.1541
265911 84.8832 94.5951 16.83217498916 16.83217498916 7.0574 14.1148 4.3776 140.8191 0.4891
265940 80.3975 52.2173 18.04857498916 18.04857498916 5.9629 11.9258 4.601 112.2746 0.4875
265943 53.7013 83.6956 17.70547498916 17.70547498916 6.4206 12.8412 4.5086 168.2385 0.4179
265981 148.8727 106.4069 16.85617498916 16.85617498916 11.001 22.002 2.9434 59.669 0.2621
265986 78.178 79.9999 18.97747498916 18.97747498916 6.80575 13.6115 2.0082 103.2134 0.0423
265985 51.3467 73.0023 19.03897498916 19.03897498916 5.77065 11.5413 2.7402 0.702799999999996 0.54
266033 66.0826 79.0872 17.39137498916 17.39137498916 6.2548 12.5096 4.9178 39.5336 0.3336
266035 105.1495 78.5289 18.18017498916 18.18017498916 11.3878 22.7756 2.955 56.3237 0.6222
266105 264.8947 219.5667 15.45027498916 15.45027498916 36.68265 73.3653 3.9704 94.4409 0.3477
266418 148.3584 97.239 17.03287498916 17.03287498916 10.2596 20.5192 3.2092 105.3949 0.4479
266534 184.6642 273.2583 16.27437498916 16.27437498916 13.178 26.356 1.899 2.7736 0.2903
266662 85.5281 139.9804 16.59737498916 16.59737498916 10.14805 20.2961 4.1296 18.0447 0.4821
266685 71.0364 106.7955 18.19637498916 18.19637498916 9.04575 18.0915 2.4306 32.9121 0.7491
266743 240.0873 229.9672 15.08687498916 15.08687498916 14.86505 29.7301 6.8824 44.3307 0.00649999999999995
266747 204.0403 131.3613 16.04417498916 16.04417498916 18.9376 37.8752 3.1808 113.8948 0.6011
267199 100.2288 107.5061 17.59117498916 17.59117498916 9.49945 18.9989 2.6412 42.6073 0.3683
267489 75.9581 156.7161 17.38697498916 17.38697498916 12.3069 24.6138 2.6212 4.6631 0.4583
267525 50.0204 77.3259 18.89297498916 18.89297498916 7.00115 14.0023 2.0818 157.1785 0.6997
267542 247.9191 253.313 16.83277498916 16.83277498916 9.37555 18.7511 1.9362 52.6949 0.2823
271699 52.0881 51.2667 18.84707498916 18.84707498916 4.46465 8.9293 1.8136 61.0597 0.308
272880 88.3052 116.8028 17.02657498916 17.02657498916 8.90735 17.8147 3.2236 34.41 0.2245
272995 195.9699 205.1251 15.10297498916 15.10297498916 28.1036 56.2072 6.3128 136.9802 0.5122
273092 206.1996 198.7988 16.25227498916 16.25227498916 19.6393 39.2786 3.456 149.5371 0.1162
278109 81.6169 168.9851 15.79277498916 15.79277498916 6.512 13.024 4.3164 163.8253 0.3321
278390 139.4062 405.3599 15.11087498916 15.11087498916 34.52325 69.0465 4.0248 179.6727 0.6448
278802 254.2079 144.3134 15.52317498916 15.52317498916 20.80185 41.6037 4.5754 117.1863 0.7009
278812 120.735 100.9168 17.42677498916 17.42677498916 12.9451 25.8902 2.966 53.7243 0.4859
278840 109.5633 110.3469 16.21557498916 16.21557498916 8.4459 16.8918 4.7178 55.0878 0.2004
278846 106.2556 102.1279 18.20887498916 18.20887498916 10.43155 20.8631 3.0214 129.4536 0.541
278878 68.7919 180.1411 17.91317498916 17.91317498916 21.2491 42.4982 2.0782 164.8206 0.8161
279028 120.5654 165.2248 18.03707498916 18.03707498916 18.4208 36.8416 3.262 35.9842 0.6649
279148 50.7397 93.7055 17.70657498916 17.70657498916 7.2073 14.4146 1.9602 9.5087 0.594
279261 78.4851 63.0524 17.96107498916 17.96107498916 5.72175 11.4435 4.578 64.7543 0.3303
279818 186.2224 198.2796 16.69567498916 16.69567498916 20.1142 40.2284 3.1318 31.9985 0.1008
287827 119.8122 115.4967 16.13397498916 16.13397498916 8.1583 16.3166 3.9602 78.1287 0.0551
288364 149.0726 260.9532 15.83867498916 15.83867498916 17.8526 35.7052 5.3018 12.9465 0.5547
288457 108.3286 144.9422 17.61347498916 17.61347498916 7.504 15.008 1.6886 151.8722 0.3768
288904 158.1669 213.7635 16.09927498916 16.09927498916 18.0417 36.0834 2.9714 160.4373 0.3866
